scenario,method,sim_idx,converged,mse,coverage,interval_score,sharpness,calibration,tau2,I2
2_quadratic_mod_het,OneStage_RCS,14,True,0.00043679048989328647,100.0,0.2179312085270903,0.2179312085270903,0.0,0.042911007476283645,94.7143402920136
2_quadratic_mod_het,TwoStage_RCS_DL_HKSJ,15,True,72.53009480499144,100.0,736.1719761017958,736.1719761017958,0.0,3.548687349848091e-07,95.10971774329032
2_quadratic_mod_het,TwoStage_RCS_Fixed,15,True,14.079053303999753,90.0,25.57150453394268,25.460843726584717,0.11066080735796342,0.0,0.0
2_quadratic_mod_het,OneStage_RCS,15,True,0.0038587151292844186,100.0,0.23573568689524077,0.23573568689524077,0.0,0.05086978896244236,95.18818598917976
2_quadratic_mod_het,TwoStage_RCS_DL_HKSJ,16,True,0.004834020423565855,100.0,918.6657841281559,918.6657841281559,0.0,4.3300125049062595e-07,96.30068568880284
2_quadratic_mod_het,TwoStage_RCS_Fixed,16,True,0.005802610554248985,92.0,24.571422621169017,24.541511244400475,0.029911376768542938,0.0,0.0
2_quadratic_mod_het,OneStage_RCS,16,True,0.0029282631491619497,100.0,0.2445864548668727,0.2445864548668727,0.0,0.05506828098083274,95.59800733637378
2_quadratic_mod_het,TwoStage_RCS_DL_HKSJ,17,True,0.04810215119511371,100.0,626.6083039626585,626.6083039626585,0.0,2.852043077542986e-07,94.84378027843624
2_quadratic_mod_het,TwoStage_RCS_Fixed,17,True,0.05469237835455264,89.0,24.540449865872983,24.35074994314899,0.1896999227239865,0.0,0.0
2_quadratic_mod_het,OneStage_RCS,17,True,0.00938419558491804,52.0,0.5603414152890099,0.19208817259340694,0.368253242695603,0.03135959106743441,93.37399862125142
2_quadratic_mod_het,TwoStage_RCS_DL_HKSJ,18,True,0.00013112100528454696,100.0,635.1274506470502,635.1274506470502,0.0,3.1625089126050127e-07,94.32678058314528
2_quadratic_mod_het,TwoStage_RCS_Fixed,18,True,0.0002016256445302756,100.0,24.58600222355769,24.58600222355769,0.0,0.0,0.0
2_quadratic_mod_het,OneStage_RCS,18,True,0.0004994679970106993,100.0,0.21921167421741647,0.21921167421741647,0.0,0.04277958409485961,94.37712050588989
2_quadratic_mod_het,TwoStage_RCS_DL_HKSJ,19,True,0.00051284566626645,100.0,907.4651944834249,907.4651944834249,0.0,4.761430273470842e-07,95.77045856135342
2_quadratic_mod_het,TwoStage_RCS_Fixed,19,True,0.0009850023981551783,95.0,24.72360082681101,24.719287009535197,0.004313817275812405,0.0,0.0
2_quadratic_mod_het,OneStage_RCS,19,True,0.0009223199524590524,100.0,0.23502939161347225,0.23502939161347225,0.0,0.050727135009353705,95.33703438737957
2_quadratic_mod_het,TwoStage_RCS_DL_HKSJ,20,True,0.07276577325736687,100.0,620.5197919931005,620.5197919931005,0.0,3.5442451637197573e-07,94.77999755495473
2_quadratic_mod_het,TwoStage_RCS_Fixed,20,True,0.07490142117823081,100.0,21.76541711644125,21.76541711644125,0.0,0.0,0.0
